stock_id,超大单,大单,中单,小单
SH600281,0,-3,-6,-4
SH600282,-1,-6,-1,-3
SH600283,2,4,3,2
SH600284,2,2,10,-3
SH600285,0,1,4,-4
SH600287,0,3,-2,-4
SH600288,0,1,2,0
SH600289,5,4,-4,-2
SH600290,5,0,-4,0
SH600291,1,5,0,-5
SH600292,0,0,18,1
SH600293,0,-6,1,3
SH600295,0,0,1,4
SH600297,0,-3,9,5
SH600298,-1,0,-1,1
SH600299,-1,-2,-4,4
SH600300,0,-2,-9,2
SH600301,0,0,0,-2
SH600302,0,-3,2,-4
SH600303,0,6,5,2
SH600305,0,6,8,5
SH600306,0,2,2,1
SH600307,4,-10,-3,0
SH600308,2,16,4,-1
SH600309,-3,1,-1,0
SH600310,0,0,-5,2
SH600311,1,0,0,6
SH600312,2,-3,-2,0
SH600313,0,6,-2,1
SH600315,-1,-9,-4,1
SH600316,3,2,0,0
SH600317,-4,-9,0,0
SH600319,1,3,6,-3
SH600320,0,-1,2,-2
SH600321,2,-3,2,2
SH600322,0,0,0,0
SH600323,1,-1,0,5
SH600325,-1,-8,-2,0
SH600326,-5,-5,-3,0
SH600327,1,9,7,-6
SH600328,0,1,0,6
SH600329,4,1,1,-1
SH600330,0,-1,2,-2
SH600331,-1,11,-2,1
SH600332,1,2,0,-2
SH600333,1,-1,0,-1
SH600335,1,4,-2,2
SH600336,0,-1,3,1
SH600337,0,-3,-1,1
SH600338,3,4,-2,-2
SH600339,0,-1,2,4
SH600340,0,0,0,0
SH600343,0,10,0,-1
SH600345,0,0,-4,-5
SH600346,-1,-12,-3,1
SH600348,4,-6,-1,0
SH600350,1,-9,-5,0
SH600351,0,3,13,-3
SH600352,-1,13,-2,-1
SH600353,3,-2,-1,-1
SH600354,0,3,1,5
SH600355,1,4,2,0
SH600356,0,2,-3,-2
SH600359,0,0,0,1
SH600360,-1,1,3,0
SH600361,1,1,3,-2
SH600362,4,0,1,0
SH600363,-5,6,0,0
SH600365,0,-3,-5,-1
SH600366,0,0,2,-3
SH600367,1,2,-5,3
SH600368,-2,-7,-1,1
SH600369,2,11,3,-1
SH600370,1,7,8,-3
SH600371,0,2,7,2
SH600372,3,0,3,-1
SH600373,1,5,5,-1
SH600376,0,0,0,0
SH600377,1,-2,5,-7
SH600378,0,6,3,4
SH600379,2,7,3,-1
SH600380,0,-2,-6,-1
SH600381,0,-3,-2,2
SH600382,3,2,2,-2
SH600383,1,4,-1,-1
SH600385,0,-2,5,-2
SH600386,0,5,-4,-4
SH600389,0,-1,8,6
SH600390,0,2,-1,0
SH600391,1,-2,2,2
SH600392,-3,-2,-2,0
SH600393,2,5,2,4
SH600395,1,7,1,0
SH600396,0,-3,-9,1
SH600397,2,7,-6,2
SH600398,1,1,9,0
SH600399,0,2,-3,0
SH600401,1,3,-5,0
SH600403,0,4,-1,-6
SH600405,1,-4,-3,1
SH600408,0,2,3,-2
SH600409,0,-9,1,1
SH600410,0,-3,3,-3
SH600415,-7,0,0,0
SH600416,-1,3,7,0
SH600418,0,-2,-2,-1
SH600419,0,-3,-1,-5
SH600420,2,3,4,0
SH600421,0,2,2,1
SH600422,0,5,4,8
SH600423,0,2,3,-2
SH600425,5,3,3,0
SH600426,8,2,0,1
SH600428,0,3,0,0
SH600429,0,-4,-12,3
SH600432,0,3,7,-2
SH600433,-2,-4,-1,-2
SH600435,-2,0,-1,0
SH600436,0,-4,-1,0
SH600438,2,4,3,0
SH600439,1,13,3,0
SH600444,0,0,1,0
SH600446,2,6,-2,-1
SH600448,0,3,6,4
SH600449,0,-4,0,1
SH600452,1,3,-2,-8
SH600455,0,-1,0,3
SH600456,3,1,5,-2
SH600458,2,0,-4,1
SH600459,2,6,5,-2
SH600460,0,2,2,-3
SH600461,1,0,-5,-3
SH600463,0,0,0,0
SH600466,4,-7,1,-1
SH600467,-1,4,6,2
SH600468,2,8,2,-1
SH600470,0,4,-1,-2
SH600475,0,4,-2,1
SH600476,0,1,-1,-3
SH600477,3,-1,-4,1
SH600478,1,5,0,-1
SH600479,0,0,7,0
SH600480,0,0,0,0
SH600482,2,0,0,0
SH600483,0,3,7,3
SH600486,0,0,-5,-1
SH600487,-11,0,-2,0
SH600488,0,5,1,1
SH600489,5,-3,-3,0
SH600491,4,1,6,-2
SH600493,1,3,12,5
SH600495,1,-3,0,1
SH600496,-1,1,1,4
SH600497,-1,0,-1,-1
SH600498,2,2,4,-1
SH600499,-1,-4,2,2
SH600500,5,3,6,-1
SH600501,3,9,5,2
SH600502,2,4,0,1
SH600503,2,11,0,0
SH600505,1,6,2,0
SH600506,0,3,3,-1
SH600507,5,5,1,2
SH600508,1,4,4,2
SH600509,3,-7,-4,-1
SH600510,1,4,1,-1
SH600511,4,0,2,3
SH600512,0,3,11,5
SH600513,0,4,-4,1
SH600515,0,6,2,1
SH600516,0,-4,-6,1
SH600517,2,5,-5,-1
SH600518,-7,0,3,-1
SH600519,-9,-1,-2,1
SH600520,0,0,0,-1
SH600521,2,5,1,3
SH600522,3,-5,4,1
SH600523,0,0,-9,-2
SH600525,2,0,3,0
SH600526,0,-3,3,-1
SH600527,0,0,-5,0
SH600528,-1,2,0,0
SH600529,0,-4,0,3
SH600530,0,2,8,5
SH600531,0,7,-3,-3
SH600532,1,4,0,4
SH600533,1,-2,-2,-2
SH600535,3,3,-1,2
SH600536,1,4,10,2
SH600537,3,7,0,-1
SH600538,0,7,-1,1
SH600539,0,3,-4,0
SH600540,3,2,5,1
SH600543,0,-5,-1,4
SH600545,-5,2,1,1
SH600546,0,5,1,1
SH600547,4,2,0,1
SH600548,-1,0,2,2
SH600549,1,-11,1,0
SH600550,0,0,0,0
SH600552,1,0,-2,0
SH600555,0,-1,1,-5
SH600557,0,11,11,1
SH600558,1,-2,7,1
SH600560,-1,9,2,3
SH600561,3,2,-2,2
SH600562,0,3,4,-2
SH600563,1,3,1,0
SH600565,1,12,0,-2
SH600566,0,-5,-5,-1
SH600567,5,9,3,0
SH600568,-1,-7,-1,2
SH600569,2,-4,3,-4
SH600570,3,8,0,0
SH600571,0,-1,1,-1
SH600572,0,-3,0,-2
SH600573,0,-3,-6,-2
SH600575,2,4,0,-3
SH600576,-1,-13,0,1
SH600577,9,5,-2,1
SH600578,1,4,-3,1
SH600579,-4,-3,1,-1
SH600580,0,4,11,2
SH600581,0,2,2,-3
SH600582,-1,-8,2,0
SH600583,0,4,2,1
SH600584,-7,-8,0,0
SH600585,-1,2,-2,0
SH600586,-1,-8,-2,2
SH600587,2,2,-1,0
SH600588,0,2,1,2
SH600589,-1,2,-2,-4
SH600592,-1,-3,-3,0
SH600593,0,6,12,1
